Ender&#39;s Game (Ender&#39;s Saga, #1)	Orson Scott Card	https://www.goodreads.com/book/show/375802.Ender_s_Game
Dune (Dune Chronicles, #1)	Frank Herbert	https://www.goodreads.com/book/show/234225.Dune
1984	George Orwell	https://www.goodreads.com/book/show/40961427-1984
Fahrenheit 451	Ray Bradbury	https://www.goodreads.com/book/show/4381.Fahrenheit_451
Brave New World	Aldous Huxley	https://www.goodreads.com/book/show/5129.Brave_New_World
Foundation (Foundation #1)	Isaac Asimov	https://www.goodreads.com/book/show/29579.Foundation
A Wrinkle in Time (Time Quintet, #1)	Madeleine L&#39;Engle	https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Hunger Games	Suzanne Collins	https://www.goodreads.com/book/show/2767052-the-hunger-games
Slaughterhouse-Five	Kurt Vonnegut	https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Giver (The Giver, #1)	Lois Lowry	https://www.goodreads.com/book/show/3636.The_Giver
The Ultimate Hitchhiker&#39;s Guide to the Galaxy (Hitchhiker&#39;s Guide to the Galaxy, #1-5)	Douglas Adams	https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
Stranger in a Strange Land	Robert A. Heinlein	https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
Do Androids Dream of Electric Sheep?	Philip K. Dick	https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_
I, Robot (Robot, #0.1)	Isaac Asimov	https://www.goodreads.com/book/show/41804.I_Robot
Neuromancer (Sprawl, #1)	William Gibson	https://www.goodreads.com/book/show/888628.Neuromancer
Hyperion (Hyperion Cantos, #1)	Dan Simmons	https://www.goodreads.com/book/show/77566.Hyperion
Animal Farm	George Orwell	https://www.goodreads.com/book/show/7613.Animal_Farm
Speaker for the Dead (Ender&#39;s Saga, #2)	Orson Scott Card	https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead
Snow Crash	Neal Stephenson	https://www.goodreads.com/book/show/830.Snow_Crash
The Martian Chronicles	Ray Bradbury	https://www.goodreads.com/book/show/76778.The_Martian_Chronicles
The Stand	Stephen King	https://www.goodreads.com/book/show/149267.The_Stand
The Handmaid&#39;s Tale	Margaret Atwood	https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Foundation Trilogy (Foundation, #1-3)	Isaac Asimov	https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy
Jurassic Park (Jurassic Park, #1)	Michael Crichton	https://www.goodreads.com/book/show/40604658-jurassic-park
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
2001: A Space Odyssey (Space Odyssey, #1)	Arthur C. Clarke	https://www.goodreads.com/book/show/70535.2001
The Time Machine	H.G. Wells	https://www.goodreads.com/book/show/2493.The_Time_Machine
Starship Troopers	Robert A. Heinlein	https://www.goodreads.com/book/show/17214.Starship_Troopers
Flowers for Algernon	Daniel Keyes	https://www.goodreads.com/book/show/18373.Flowers_for_Algernon
The Left Hand of Darkness (Hainish Cycle #4)	Ursula K. Le Guin	https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
The Lord of the Rings (The Lord of the Rings, #1-3)	J.R.R. Tolkien	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The War of the Worlds	H.G. Wells	https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
Harry Potter and the Sorcerer&#39;s Stone (Harry Potter, #1)	J.K. Rowling	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Ender&#39;s Shadow (The Shadow Series, #1)	Orson Scott Card	https://www.goodreads.com/book/show/9532.Ender_s_Shadow
Cat&#39;s Cradle	Kurt Vonnegut	https://www.goodreads.com/book/show/135479.Cat_s_Cradle
Childhood&#39;s End	Arthur C. Clarke	https://www.goodreads.com/book/show/414999.Childhood_s_End
The Moon is a Harsh Mistress	Robert A. Heinlein	https://www.goodreads.com/book/show/16690.The_Moon_is_a_Harsh_Mistress
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
A Canticle for Leibowitz (St. Leibowitz, #1)	Walter M. Miller Jr.	https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
Rendezvous with Rama (Rama, #1)	Arthur C. Clarke	https://www.goodreads.com/book/show/112537.Rendezvous_with_Rama
The Forever War (The Forever War, #1)	Joe Haldeman	https://www.goodreads.com/book/show/21611.The_Forever_War
The Host (The Host, #1)	Stephenie Meyer	https://www.goodreads.com/book/show/1656001.The_Host
The Time Traveler&#39;s Wife	Audrey Niffenegger	https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
Ready Player One (Ready Player One, #1)	Ernest Cline	https://www.goodreads.com/book/show/9969571-ready-player-one
Old Man&#39;s War (Old Man&#39;s War, #1)	John Scalzi	https://www.goodreads.com/book/show/51964.Old_Man_s_War
Dragonflight (Dragonriders of Pern, #1)	Anne McCaffrey	https://www.goodreads.com/book/show/61975.Dragonflight
Ringworld (Ringworld, #1)	Larry Niven	https://www.goodreads.com/book/show/61179.Ringworld
Contact	Carl Sagan	https://www.goodreads.com/book/show/61666.Contact
Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)	Jules Verne	https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
The Diamond Age: Or, A Young Lady&#39;s Illustrated Primer	Neal Stephenson	https://www.goodreads.com/book/show/827.The_Diamond_Age
I Am Legend and Other Stories	Richard Matheson	https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories
The Dispossessed (Hainish Cycle #6)	Ursula K. Le Guin	https://www.goodreads.com/book/show/13651.The_Dispossessed
World War Z: An Oral History of the Zombie War	Max Brooks	https://www.goodreads.com/book/show/8908.World_War_Z
The Hitchhiker&#39;s Guide to the Galaxy (Hitchhiker&#39;s Guide to the Galaxy, #1)	Douglas Adams	https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Sparrow (The Sparrow, #1)	Mary Doria Russell	https://www.goodreads.com/book/show/334176.The_Sparrow
Frankenstein	Mary Wollstonecraft Shelley	https://www.goodreads.com/book/show/18490.Frankenstein
The Man in the High Castle	Philip K. Dick	https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle
Uglies (Uglies, #1)	Scott Westerfeld	https://www.goodreads.com/book/show/24770.Uglies
Never Let Me Go	Kazuo Ishiguro	https://www.goodreads.com/book/show/6334.Never_Let_Me_Go
Ubik	Philip K. Dick	https://www.goodreads.com/book/show/22590.Ubik
The Andromeda Strain (Andromeda #1)	Michael Crichton	https://www.goodreads.com/book/show/7670.The_Andromeda_Strain
The Mote in God&#39;s Eye (Moties, #1)	Larry Niven	https://www.goodreads.com/book/show/100365.The_Mote_in_God_s_Eye
The Stars My Destination	Alfred Bester	https://www.goodreads.com/book/show/333867.The_Stars_My_Destination
American Gods (American Gods, #1)	Neil Gaiman	https://www.goodreads.com/book/show/30165203-american-gods
Oryx and Crake (MaddAddam, #1)	Margaret Atwood	https://www.goodreads.com/book/show/46756.Oryx_and_Crake
Journey to the Center of the Earth (Extraordinary Voyages, #3)	Jules Verne	https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth
Second Foundation (Foundation #3)	Isaac Asimov	https://www.goodreads.com/book/show/29580.Second_Foundation
Solaris	StanisÅ‚aw Lem	https://www.goodreads.com/book/show/95558.Solaris
The Day of the Triffids	John Wyndham	https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids
Red Mars (Mars Trilogy, #1)	Kim Stanley Robinson	https://www.goodreads.com/book/show/77507.Red_Mars
Doomsday Book (Oxford Time Travel, #1)	Connie Willis	https://www.goodreads.com/book/show/24983.Doomsday_Book
The Sirens of Titan	Kurt Vonnegut	https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan
The Hobbit or There and Back Again	J.R.R. Tolkien	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Timeline	Michael Crichton	https://www.goodreads.com/book/show/7669.Timeline
The Illustrated Man	Ray Bradbury	https://www.goodreads.com/book/show/24830.The_Illustrated_Man
The Fall of Hyperion (Hyperion Cantos, #2)	Dan Simmons	https://www.goodreads.com/book/show/77565.The_Fall_of_Hyperion
The Caves of Steel (Robot #1)	Isaac Asimov	https://www.goodreads.com/book/show/41811.The_Caves_of_Steel
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	https://www.goodreads.com/book/show/18512.The_Return_of_the_King
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	https://www.goodreads.com/book/show/15241.The_Two_Towers
The Invisible Man	H.G. Wells	https://www.goodreads.com/book/show/17184.The_Invisible_Man
A Fire Upon the Deep (Zones of Thought, #1)	Vernor Vinge	https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep
Xenocide (Ender&#39;s Saga, #3)	Orson Scott Card	https://www.goodreads.com/book/show/8648.Xenocide
Foundation and Empire (Foundation #2)	Isaac Asimov	https://www.goodreads.com/book/show/29581.Foundation_and_Empire
A Scanner Darkly	Philip K. Dick	https://www.goodreads.com/book/show/14817.A_Scanner_Darkly
Flatland: A Romance of Many Dimensions	Edwin A. Abbott	https://www.goodreads.com/book/show/433567.Flatland
Anathem	Neal Stephenson	https://www.goodreads.com/book/show/2845024-anathem
The Lathe of Heaven	Ursula K. Le Guin	https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven
To Say Nothing of the Dog (Oxford Time Travel, #2)	Connie Willis	https://www.goodreads.com/book/show/77773.To_Say_Nothing_of_the_Dog
